0001_tuebadz.conllup	T990507.2
0002_tuebadz.conllup	T990507.3
0003_tuebadz.conllup	T990507.4
0005_tuebadz.conllup	T990507.7
0006_tuebadz.conllup	T990507.9
0007_tuebadz.conllup	T990507.10
0008_tuebadz.conllup	T990507.11
0010_tuebadz.conllup	T990507.13
0011_tuebadz.conllup	T990507.15
0014_tuebadz.conllup	T990507.18
0015_tuebadz.conllup	T990507.19
0016_tuebadz.conllup	T990507.20
0018_tuebadz.conllup	T990507.22
0019_tuebadz.conllup	T990507.23
0020_tuebadz.conllup	T990507.24
0021_tuebadz.conllup	T990507.25
0023_tuebadz.conllup	T990507.28
0024_tuebadz.conllup	T990507.29
0025_tuebadz.conllup	T990507.30
0026_tuebadz.conllup	T990507.31
0029_tuebadz.conllup	T990507.35
0030_tuebadz.conllup	T990507.36
0032_tuebadz.conllup	T990507.39
0033_tuebadz.conllup	T990507.40
0034_tuebadz.conllup	T990507.41
0035_tuebadz.conllup	T990507.42
0036_tuebadz.conllup	T990507.44
0037_tuebadz.conllup	T990507.46
0038_tuebadz.conllup	T990507.47
0039_tuebadz.conllup	T990507.48
0040_tuebadz.conllup	T990507.49
0041_tuebadz.conllup	T990507.50
0043_tuebadz.conllup	T990507.52
0044_tuebadz.conllup	T990507.53
0046_tuebadz.conllup	T990507.56
0047_tuebadz.conllup	T990507.57
0048_tuebadz.conllup	T990507.58
0050_tuebadz.conllup	T990507.60
0051_tuebadz.conllup	T990507.61
0052_tuebadz.conllup	T990507.62
0054_tuebadz.conllup	T990507.66
0056_tuebadz.conllup	T990507.84
0057_tuebadz.conllup	T990507.85
0058_tuebadz.conllup	T990507.86
0059_tuebadz.conllup	T990507.87
0060_tuebadz.conllup	T990507.88
0061_tuebadz.conllup	T990507.89
0062_tuebadz.conllup	T990507.90
0063_tuebadz.conllup	T990507.91
0064_tuebadz.conllup	T990507.92
0065_tuebadz.conllup	T990507.93
0066_tuebadz.conllup	T990507.94
0067_tuebadz.conllup	T990507.96
0068_tuebadz.conllup	T990507.97
0069_tuebadz.conllup	T990507.98
0071_tuebadz.conllup	T990507.101
0072_tuebadz.conllup	T990507.102
0073_tuebadz.conllup	T990507.103
0074_tuebadz.conllup	T990507.104
0076_tuebadz.conllup	T990507.106
0077_tuebadz.conllup	T990507.107
0078_tuebadz.conllup	T990507.111
0080_tuebadz.conllup	T990507.113
0081_tuebadz.conllup	T990507.114
0082_tuebadz.conllup	T990507.116
0083_tuebadz.conllup	T990507.117
0085_tuebadz.conllup	T990507.119
0086_tuebadz.conllup	T990507.123
0087_tuebadz.conllup	T990507.124
0088_tuebadz.conllup	T990507.125
0089_tuebadz.conllup	T990507.128
0090_tuebadz.conllup	T990507.129
0091_tuebadz.conllup	T990507.130
0092_tuebadz.conllup	T990507.131
0093_tuebadz.conllup	T990507.132
0095_tuebadz.conllup	T990507.134
0096_tuebadz.conllup	T990507.135
0098_tuebadz.conllup	T990507.137
0100_tuebadz.conllup	T990507.140
0101_tuebadz.conllup	T990507.141
0102_tuebadz.conllup	T990507.143
0103_tuebadz.conllup	T990507.145
0104_tuebadz.conllup	T990507.146
0107_tuebadz.conllup	T990507.149
0108_tuebadz.conllup	T990507.150
0109_tuebadz.conllup	T990507.151
0110_tuebadz.conllup	T990507.152
0111_tuebadz.conllup	T990507.153
0112_tuebadz.conllup	T990507.154
0113_tuebadz.conllup	T990507.156
0115_tuebadz.conllup	T990507.158
0116_tuebadz.conllup	T990507.160
0117_tuebadz.conllup	T990507.161
0118_tuebadz.conllup	T990507.162
0120_tuebadz.conllup	T990507.165
0121_tuebadz.conllup	T990507.166
0122_tuebadz.conllup	T990507.167
0123_tuebadz.conllup	T990507.168
0124_tuebadz.conllup	T990507.169
0125_tuebadz.conllup	T990507.173
0126_tuebadz.conllup	T990507.174
0128_tuebadz.conllup	T990507.176
0129_tuebadz.conllup	T990507.178
0131_tuebadz.conllup	T990507.180
0132_tuebadz.conllup	T990507.181
0133_tuebadz.conllup	T990507.182
0134_tuebadz.conllup	T990507.184
0135_tuebadz.conllup	T990507.186
0136_tuebadz.conllup	T990507.187
0138_tuebadz.conllup	T990507.189
0139_tuebadz.conllup	T990507.190
0140_tuebadz.conllup	T990507.191
0141_tuebadz.conllup	T990507.192
0142_tuebadz.conllup	T990507.193
0143_tuebadz.conllup	T990507.194
0146_tuebadz.conllup	T990507.198
0147_tuebadz.conllup	T990507.199
0148_tuebadz.conllup	T990507.201
0149_tuebadz.conllup	T990507.202
0151_tuebadz.conllup	T990507.207
0152_tuebadz.conllup	T990507.211
0153_tuebadz.conllup	T990507.212
0154_tuebadz.conllup	T990507.213
0155_tuebadz.conllup	T990507.214
0156_tuebadz.conllup	T990507.215
0157_tuebadz.conllup	T990507.217
0158_tuebadz.conllup	T990507.219
0160_tuebadz.conllup	T990507.222
0162_tuebadz.conllup	T990507.226
0163_tuebadz.conllup	T990506.2
0164_tuebadz.conllup	T990506.3
0165_tuebadz.conllup	T990506.4
0166_tuebadz.conllup	T990506.5
0167_tuebadz.conllup	T990506.7
0169_tuebadz.conllup	T990506.9
0170_tuebadz.conllup	T990506.10
0171_tuebadz.conllup	T990506.11
0172_tuebadz.conllup	T990506.12
0173_tuebadz.conllup	T990506.14
0174_tuebadz.conllup	T990506.15
0175_tuebadz.conllup	T990506.16
0176_tuebadz.conllup	T990506.17
0177_tuebadz.conllup	T990506.19
0178_tuebadz.conllup	T990506.20
0179_tuebadz.conllup	T990506.21
0181_tuebadz.conllup	T990506.24
0182_tuebadz.conllup	T990506.25
0183_tuebadz.conllup	T990506.26
0184_tuebadz.conllup	T990506.27
0185_tuebadz.conllup	T990506.28
0188_tuebadz.conllup	T990506.31
0189_tuebadz.conllup	T990506.32
0191_tuebadz.conllup	T990506.35
0192_tuebadz.conllup	T990506.36
0193_tuebadz.conllup	T990506.37
0195_tuebadz.conllup	T990506.41
0197_tuebadz.conllup	T990506.48
0198_tuebadz.conllup	T990506.49
0199_tuebadz.conllup	T990506.50
0201_tuebadz.conllup	T990506.52
0202_tuebadz.conllup	T990506.53
0203_tuebadz.conllup	T990506.54
0204_tuebadz.conllup	T990506.55
0205_tuebadz.conllup	T990506.56
0206_tuebadz.conllup	T990506.59
0207_tuebadz.conllup	T990506.60
0208_tuebadz.conllup	T990506.61
0209_tuebadz.conllup	T990506.62
0210_tuebadz.conllup	T990506.63
0211_tuebadz.conllup	T990506.64
0213_tuebadz.conllup	T990506.66
0214_tuebadz.conllup	T990506.67
0215_tuebadz.conllup	T990506.68
0216_tuebadz.conllup	T990506.72
0217_tuebadz.conllup	T990506.73
0218_tuebadz.conllup	T990506.75
